순위,제목,가수,앨범명
1,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
2,TOMBOY,(여자)아이들,I NEVER DIE
3,LOVE DIVE,IVE (아이브),LOVE DIVE
4,Feel My Rhythm,Red Velvet (레드벨벳),‘The ReVe Festival 2022 - Feel My Rhythm’
5,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
6,GANADARA (Feat. 아이유),박재범,GANADARA
7,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
8,취중고백,김민석 (멜로망스),취중고백
9,INVU,태연 (TAEYEON),INVU - The 3rd Album
10,듣고 싶을까,MSG워너비(M.O.M),듣고 싶을까
11,ELEVEN,IVE (아이브),ELEVEN
12,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호)
13,RUN2U,STAYC(스테이씨),YOUNG-LUV.COM
14,SMILEY (Feat. BIBI),YENA (최예나),ˣ‿ˣ (SMiLEY)
15,언제나 사랑해,케이시 (Kassy),조영수 리메이크 프로젝트 Part.2
16,신호등,이무진,신호등
17,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
18,STAY,The Kid LAROI,Stay
19,존재만으로,원슈타인,스물다섯 스물하나 OST Part 4
20,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,쇼미더머니 10 Episode 2
21,버퍼링 (Glitch Mode),NCT DREAM,Glitch Mode - The 2nd Album
22,다시 사랑한다면 (김필 Ver.),임영웅,사랑의 콜센타 PART56
23,드라마,아이유,조각집
24,MY BAG,(여자)아이들,I NEVER DIE
25,strawberry moon,아이유,strawberry moon
26,LOVE me,BE'O (비오),LOVE me
27,Step Back,GOT the beat,Step Back
28,Next Level,aespa,Next Level
29,그대라는 사치,임영웅,사랑의 콜센타 PART62
30,Weekend,태연 (TAEYEON),Weekend
31,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오),쇼미더머니 10 Episode 3
32,별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아
33,Real Love,오마이걸 (OH MY GIRL),Real Love
34,사랑인걸,한동근,사랑인걸
35,너를 생각해,주시크 (Joosiq),너를 생각해
36,잊었니,임영웅,사랑의 콜센타 PART60
37,내가 아니라도,주호,내가 아니라도
38,라일락,아이유,IU 5th Album 'LILAC'
39,Butter,방탄소년단,Butter
40,HERO,임영웅,HERO
41,Dynamite,방탄소년단,Dynamite (DayTime Version)
42,어제처럼,폴킴,어제처럼
43,끝사랑,임영웅,사랑의 콜센타 PART61
44,"너, 너 (N번째 연애 X 휘인 (Whee In))",휘인 (Whee In),"너, 너 (N번째 연애 X 휘인 (Whee In))"
45,호랑수월가,탑현,호랑수월가
46,abcdefu,GAYLE,abcdefu
47,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈)
48,Counting Stars (Feat. Beenzino),BE'O (비오),Counting Stars
49,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집
50,Permission to Dance,방탄소년단,Butter / Permission to Dance
51,"스물다섯, 스물하나",자우림,"Goodbye, grief."
52,OHAYO MY NIGHT,디핵 (D-Hack),OHAYO MY NIGHT
53,봄 사랑 벚꽃 말고,HIGH4 (하이포),봄 사랑 벚꽃 말고
54,봄날,방탄소년단,YOU NEVER WALK ALONE
55,Bk Love,임영웅,뽕숭아학당 PART23
56,Dreams Come True,aespa,Dreams Come True - SM STATION
57,Savage,aespa,Savage - The 1st Mini Album
58,Starlight,태일 (TAEIL),스물다섯 스물하나 OST Part 1
59,Celebrity,아이유,IU 5th Album 'LILAC'
60,Darl+ing,세븐틴,Darl+ing
61,내 생에 아름다운,이예준,내 생에 아름다운
62,Blueming,아이유,Love poem
63,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB),Red Moon : Beyond The Light
64,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집
65,너의 번호를 누르고,김나영,너의 번호를 누르고
66,내 손을 잡아,아이유,최고의 사랑 OST Part.4
67,Bad Habits,Ed Sheeran,=
68,아무래도 난,주시크 (Joosiq),아무래도 난
69,DAYDREAM,하이라이트 (Highlight),DAYDREAM
70,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,사이렌 Remix
71,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식 (Basick),쇼미더머니 10 Episode 3
72,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3
73,계단말고 엘리베이터,임영웅,계단말고 엘리베이터
74,My Universe,Coldplay,My Universe
75,밤하늘의 별을(2020),경서,밤하늘의 별을(2020)
76,벚꽃이 피면 우리 그만 헤어져,벤,벚꽃이 피면 우리 그만 헤어져
77,고백,멜로망스,세 번째 '고백'
78,서랍,10CM,그 해 우리는 OST Part.1
79,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL
80,문득,BE'O (비오),Bipolar
81,Off My Face,Justin Bieber,Justice (The Complete Edition)
82,헤픈 우연,헤이즈 (Heize),HAPPEN
83,너의 모든 순간,성시경,별에서 온 그대 OST Part.7
84,북극성 (Never Goodbye),NCT DREAM,Glitch Mode - The 2nd Album
85,겨울잠,아이유,조각집
86,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
87,"아주, 천천히",비비 (BIBI),스물다섯 스물하나 OST Part 3
88,낙하 (with 아이유),AKMU (악뮤),NEXT EPISODE
89,언덕나무,이승윤,그 해 우리는 OST Part.7
90,Can't Control Myself,태연 (TAEYEON),Can't Control Myself
91,롤린 (Rollin'),브레이브걸스,Rollin'
92,That's Hilarious,Charlie Puth,That's Hilarious
93,Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (What Doesn't Kill You) (Digital Audio Bundle)
94,Christmas Tree,V,그 해 우리는 OST Part.5
95,With,김태리,스물다섯 스물하나 OST Part 7
96,우연히 봄,로꼬,냄새를 보는 소녀 OST Part.2
97,꽃 (With 김민석 of 멜로망스),박봄 (Park Bom),꽃
98,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
99,Arcade,NCT DREAM,Glitch Mode - The 2nd Album
100,우리가 헤어져야 했던 이유,비비 (BIBI),그 해 우리는 OST Part.2
